Level,Hierarchy,NOC_Code,Class_Title,Class_Definition,Additional information,All examples,Employment requirements,Exclusion(s),Illustrative example(s),Inclusion(s),Main duties
5,Unit Group,65220,Pet groomers and animal care workers,"Animal care workers feed, handle, train and groom animals and assist veterinarians, animal health technologists and technicians and animal breeders. Pet groomers clip coats, bathe and otherwise groom pets. They are employed by animal hospitals and clinics, animal shelters, breeding and boarding kennels, zoos, laboratories, retail pet shops, dog training schools, pet grooming establishments, or may be self-employed.",Progression to animal health technology occupations is possible with additional training.,animal attendant  | animal attendants supervisor  | animal care worker (except farm)  | animal groomer (except horses)  | animal health care assistant  | animal trainer (except horses or marine mammals)  | aquarist  | certified dog master  | dog groomer  | dog handler  | dog master  | dog master trainer  | dog trainer  | groom - horse race track  | horse hot-walker  | kennel attendant  | kennel keeper  | kennelman/woman  | laboratory animal attendant  | laboratory animal care worker  | pet groomer  | pet master groomer  | pet shop attendant  | pet-sitter  | pound animal attendant  | pound attendant  | receiving barn custodian  | veterinary attendant  | veterinary helper  | zoo animal attendant  | zoo attendant,"Completion of secondary school is usually required.  | Depending on the type of work performed, training courses in animal handling, grooming or dog training are usually required. Animal health or veterinary assistant college courses may be required for animal care workers. ",Animal health technologists and veterinary technicians  (See 32104 Animal health technologists and veterinary technicians) | Animal nutritionist  (See 21110 Biologists and related scientists) | Horseshoer  (See 72999 Other technical trades and related occupations) | Marine mammal trainer  (See 21110 Biologists and related scientists) | Sheep shearer  (See 84120 Specialized livestock workers and farm machinery operators),animal care worker (except farm)  | dog groomer  | dog trainer  | kennel attendant  | laboratory animal attendant  | pet groomer  | pound attendant  | veterinary attendant  | zoo attendant,,"This group performs some or all of the following duties:  | Prepare food and feed animals, fish or birds at scheduled intervals  | Clean and disinfect cages, pens and surrounding areas  | Shampoo, clip and groom animals  | Assist veterinarians and animal health technologists and technicians to inoculate and treat animals  | Assist animal breeders to handle and nurture animals  | Assist scientists and researchers in conducting laboratory tests with animals  | Monitor and document animal behaviour  | Train dogs to obey commands and perform specific duties in response to signals. "
5,Unit Group,65229,Other support occupations in personal services,"Workers in other support occupations in personal services provide psychic consulting, fortune-telling, astrological services and other personal services. They are employed by call centres and personal service establishments, or are self-employed.",,astrologer  | astrologist  | card reader  | chat line agent  | clairvoyant  | crystal ball reader  | dating agency consultant  | dating service consultant  | escort - personal services  | feng shui practitioner  | fortune teller  | massager  | masseur/masseuse  | medium  | mental telepathist  | numerologist  | palm reader  | phone agent - personal services  | phrenologist  | psychic  | psychic consultant  | psychic reader  | Reiki master  | tarot card reader  | tea leaf reader  | telepath  | telephone agent - personal services,A period of training under the guidance of a practitioner is usually required.,"Image, social and other personal consultants  (See 64201 Image, social and other personal consultants) | Massage therapists  (See 32201 Massage therapists)",astrologer  | chat line agent  | dating service consultant  | fortune teller  | psychic consultant  | psychic reader,,This group performs some or all of the following duties:  | Astrologers  | Chart and interpret stellar and planetary positions on a horoscope to predict future events and trends for a client or the general public.  | Psychic consultants and related advisors  | Provide personal advice to clients based on various schools of thought.  | Other service providers  | Offer a wide variety of personal services not elsewhere classified.
5,Unit Group,65310,Light duty cleaners,"Light duty cleaners clean lobbies, hallways, offices and rooms of hotels, motels, resorts, hospitals, schools, office buildings and private residences. They are employed by hotels, motels, resorts, recreational facilities, hospitals and other institutions, building management companies, cleaning service companies and private individuals. Housekeepers perform housekeeping duties in residential, and institutional settings.",Progression to supervisory cleaning positions is possible with additional training or experience.,airport cleaner  | building cleaner  | chambermaid  | charworker  | cleaner  | cleaning lady  | cleaning man/woman  | clean-up crew worker  | domestic housekeeper  | domestic maid - cleaning services  | environmental service worker (ESW) - hospital  | floor cleaner  | floor sweeper  | guest home cleaner  | hall cleaner  | home cleaner  | homemaker helper - rest home  | hospital cleaner  | hotel cleaner  | hotel housekeeper  | house cleaner  | housekeeper  | housekeeping aide  | housekeeping attendant  | housekeeping room attendant  | housemaid - cleaning services  | houseman/woman  | light duty cleaner  | lodge cleaner  | lodging-establishment cleaner (except private households)  | maid - cleaning services  | motel cleaner  | nursing home cleaner  | office building cleaner  | office cleaner  | residence cleaner  | residential boarding-home cleaner  | rest home cleaner  | rest room attendant  | rest room cleaner  | room attendant  | room cleaner  | student residence cleaner  | sweeper  | tourist camp cleaner  | wall washer  | washroom cleaner,Some secondary school education may be required.  | On-the-job training is usually provided.,"Cleaning supervisors  (See 62024 Cleaning supervisors) | Janitors, caretakers and heavy-duty cleaners  (See 65312 Janitors, caretakers and heavy-duty cleaners) | Specialized cleaners  (See 65311 Specialized cleaners)",cleaner  | hospital cleaner  | hotel cleaner  | house cleaner  | housekeeper  | housekeeping aide  | housekeeping room attendant  | light duty cleaner  | office cleaner  | sweeper,,"This group performs some or all of the following duties:  | Sweep, mop, wash, wax and polish floors  | Dust furniture and vacuum carpeting and area rugs, draperies and upholstered furniture  | Make beds, change sheets and distribute clean towels and toiletries  | Attend to guests' requests for extra supplies  | Stock linen closets and other supplies' areas  | Clean, disinfect and polish kitchen and bathroom fixtures and appliances  | Clean and disinfect public areas such as changing rooms, showers and elevators  | Disinfect operating rooms and other hospital areas  | Pick up debris and empty trash containers  | Wash windows, walls and ceilings.  | Report and store lost and found items  | May provide basic information on facilities  | May handle complaints. "
5,Unit Group,65311,Specialized cleaners,"Specialized cleaners clean and refurbish building exteriors, carpets, chimneys, industrial equipment, ventilation systems, windows and other surfaces, using specialized equipment and techniques. They are employed by specialized cleaning service companies or they may be self-employed.",Progression to supervisory positions is possible with additional training or experience.,acid tank cleaner  | air duct cleaner  | air duct cleaning technician  | auto care worker  | auto detailer  | automobile cleaner  | boiler cleaner  | building exterior cleaner  | building sander  | bus cleaner  | bus washer  | car care worker  | car detailer  | car scrubber  | car wash attendant  | car washer  | carpet cleaner  | cesspool cleaner  | chimney cleaner  | chimney sweep  | drain-roto cleaner  | fireplace cleaner  | freight car cleaner  | furnace cleaner  | glass cleaner  | laboratory equipment cleaner  | laboratory facilities cleaner  | lot porter - auto cleaning  | railway car cleaner  | rock or brick sandblaster  | rug cleaner  | sandblaster  | sandblasting building cleaner  | septic tank cleaner  | specialized cleaner  | specialized cleaner - automobile aesthetics  | steam cleaner  | steamblaster  | steamblasting building cleaner  | streetcar cleaner  | subway car cleaner  | swimming pool cleaner  | tank car cleaner  | tank cleaner  | transportation vehicle scrubber  | truck washer  | upholstery cleaner  | vat washer  | vehicle cleaner  | venetian blinds cleaner and repairer  | ventilation system cleaner  | window cleaner  | window washer,There are no specific education requirements for occupations in this unit group.  | On-the-job training is usually provided.  | Previous experience in a related position may be required for some occupations in this unit group.,"Cleaning supervisors  (See 62024 Cleaning supervisors) | Janitors, caretakers and heavy-duty cleaners  (See 65312 Janitors, caretakers and heavy-duty cleaners) | Light duty cleaners  (See 65310 Light duty cleaners)",auto detailer  | building exterior cleaner  | carpet cleaner  | chimney cleaner  | freight car cleaner  | furnace cleaner  | laboratory equipment cleaner  | sandblaster  | septic tank cleaner  | upholstery cleaner  | vehicle cleaner  | ventilation system cleaner  | window cleaner,,"This group performs some or all of the following duties:  | Carpet and upholstery cleaners  | Operate cleaning machines to clean carpets, rugs and upholstered furniture on customers' premises or in carpet and upholstery cleaning establishments.  | Chimney cleaners and sandblasters  | Clean soot and creosote from chimneys and fireplaces using hand tools and industrial vacuum cleaners  | Clean building exteriors, tanks, and industrial equipment using sandblasting, pressurized steam or hydroblasting equipment.  | Furnace and ventilation system cleaners  | Clean ducts, vents and filters of furnaces in residences and commercial buildings using hand tools and industrial vacuum cleaners.  | Vehicle cleaners  | Clean the interior and exterior of automobiles, buses, streetcars, railway cars and subway cars.  | Window cleaners  | Wash and clean interior and exterior windows and other glass surfaces in low-rise and highrise buildings. "
5,Unit Group,65312,"Janitors, caretakers and heavy-duty cleaners","Janitors, caretakers and heavy-duty cleaners clean and maintain the interior and exterior of commercial, institutional and residential buildings and their surrounding grounds. They are employed by office and apartment building management companies, condominium corporations, educational institutions, health care facilities, recreational and shopping facilities, religious, industrial and other establishments.",Progression to supervisory positions is possible with additional training or experience.,airport janitor  | apartment building caretaker  | apartment building concierge  | building caretaker  | building custodian  | campground cleaner  | church caretaker  | construction campsite attendant  | custodian  | factory cleaner  | heavy-duty cleaner  | industrial cleaner  | industrial plant cleaner  | janitor  | live-in caretaker  | office building concierge  | plant cleaner  | school custodian  | school janitor,Completion of secondary school may be required.  | Previous cleaning experience may be required.,Cleaning supervisors  (See 62024 Cleaning supervisors) | General building maintenance workers and building superintendents  (See 73201 General building maintenance workers and building superintendents) | Light duty cleaners  (See 65310 Light duty cleaners) | Specialized cleaners  (See 65311 Specialized cleaners),custodian  | heavy-duty cleaner  | industrial cleaner  | plant cleaner  | school janitor,,"This group performs some or all of the following duties:  | Operate industrial vacuum cleaners to remove scraps, dirt, heavy debris and other refuse  | Wash windows, interior walls and ceilings  | Empty trash cans and other waste containers  | Sweep, mop, scrub and wax hallways, floors and stairs  | Clean snow and ice from walkways and parking areas  | Cut grass and tend grounds and plants  | Clean and disinfect washrooms and fixtures  | May move heavy furniture, equipment and supplies. "
5,Unit Group,65320,"Dry cleaning, laundry and related occupations","Dry cleaning and laundry machine operators operate machines to dry-clean or launder garments and other articles. Dry cleaning and laundry inspectors and assemblers check finished garments and other articles to ensure that they meet required standards for dry-cleaning, laundering and pressing, and assemble and bag finished garments and other articles. This unit group also includes workers who iron, press or otherwise finish garments and household articles. They are employed in dry cleaning, laundry and fur cleaning establishments, and in the laundries of hotels, hospitals and other institutions.",Progression to supervisory dry cleaning and laundry occupations is possible with additional training and experience.,apprentice dry cleaner  | assembler - laundry and dry cleaning  | bagger - laundry and dry cleaning  | blocker - laundry and dry cleaning  | checker - laundry and dry cleaning  | cleaner - laundry and dry cleaning  | cleaner and presser - laundry and dry cleaning  | cleaning machine operator - laundry and dry cleaning  | clothes presser - laundry and dry cleaning  | clothing ironer - laundry and dry cleaning  | curtain and drapery presser - laundry and dry cleaning  | drapery cleaner  | drapery cleaner - laundry and dry cleaning  | dry cleaner  | dry cleaner helper  | dry cleaning machine operator - laundry and dry cleaning  | dry cleaning machine operator helper  | dyer - laundry and dry cleaning  | extractor operator - laundry and dry cleaning  | feather renovator  | finisher - laundry and dry cleaning  | flatwork finisher - laundry and dry cleaning  | flatwork folder - laundry and dry cleaning  | flatwork ironer - laundry and dry cleaning  | fluting machine operator - laundry and dry cleaning  | folder - laundry and dry cleaning  | folding machine tender - laundry and dry cleaning  | framer - laundry and dry cleaning  | fur cleaner - laundry and dry cleaning  | fur glazer - laundry and dry cleaning  | fur ironer - laundry and dry cleaning  | fur ironer glazer - laundry and dry cleaning  | fur ironing machine operator - laundry and dry cleaning  | fur lining presser - laundry and dry cleaning  | fur lusterizer - laundry and dry cleaning  | fur steamer  | fur-drummer machine operator - laundry and dry cleaning  | garment cleaner - laundry and dry cleaning  | garment dyer - laundry and dry cleaning  | hand finisher - laundry and dry cleaning  | hand fur cleaner  | hand ironer - laundry and dry cleaning  | hand presser - laundry and dry cleaning  | hand washer - laundry and dry cleaning  | hat cleaner  | inspector - laundry and dry cleaning  | ironer - laundry and dry cleaning  | launderer  | laundry attendant  | laundry finisher  | laundry helper  | laundry labourer  | laundry machine operator  | laundry worker  | leather cleaner - laundry and dry cleaning  | leather finisher - dry cleaning  | leather or suede sprayer - laundry and dry cleaning  | machine fur cleaner  | machine operator - laundry and dry cleaning  | machine presser - laundry and dry cleaning  | machine washer - laundry and dry cleaning  | marker - laundry and dry cleaning  | packager - laundry and dry cleaning  | patcher - laundry and dry cleaning  | patching machine operator - laundry and dry cleaning  | pleat finisher - laundry and dry cleaning  | pleat presser - laundry and dry cleaning  | presser - laundry and dry cleaning  | pressing machine tender - laundry and dry cleaning  | shirt finisher - laundry and dry cleaning  | shirt folder - laundry and dry cleaning  | shirt presser - laundry and dry cleaning  | shirt-folding machine operator - laundry and dry cleaning  | silk finisher - laundry and dry cleaning  | spotter - laundry and dry cleaning  | stain remover  | steam finisher - laundry and dry cleaning  | steam press operator - laundry and dry cleaning  | steam presser - laundry and dry cleaning  | steam tunnel operator - laundry and dry cleaning  | stretcher dryer - laundry and dry cleaning  | suede cleaner - laundry and dry cleaning  | tagger - laundry and dry cleaning  | tumble dryer tender - laundry and dry cleaning  | velvet steamer - laundry and dry cleaning  | washing machine extractor operator - laundry and dry cleaning  | washing machine extractor tender - laundry and dry cleaning  | washing machine operator - laundry and dry cleaning  | wrapper - laundry and dry cleaning,"Some secondary school education is required.  | Four to eight weeks of on-the-job training are usually provided.  | Dry cleaning and laundry machine operators may require experience as inspectors or assemblers.  | Suede, leather and fur cleaners may require experience as dry cleaning or laundry machine operators. ","Alterations dressmaker AND alterations seamstress  (See 64200 Tailors, dressmakers, furriers and milliners) | Dry cleaning service manager  (See 60040 Managers in customer and personal services) | Dry cleaning supervisor  (See 62029 Other services supervisors)",assembler - laundry and dry cleaning  | bagger - laundry and dry cleaning  | drapery cleaner  | dry cleaner  | dyer - laundry and dry cleaning  | finisher - laundry and dry cleaning  | fur cleaner - laundry and dry cleaning  | hand finisher - laundry and dry cleaning  | inspector - laundry and dry cleaning  | laundry machine operator  | laundry worker  | leather cleaner - laundry and dry cleaning  | presser - laundry and dry cleaning  | pressing machine tender - laundry and dry cleaning  | silk finisher - laundry and dry cleaning  | steam finisher - laundry and dry cleaning  | suede cleaner - laundry and dry cleaning,,"This group performs some or all of the following duties:  | Dry cleaning and laundry machine operators  | Operate dry cleaning machines to dry-clean dresses, suits, coats, sweaters and other garments, draperies, cushion covers and other articles  | Sort garments and operate washing machines and dryers to clean and dry clothing, sheets, blankets, towels and other articles  | Operate machines to clean and blow-dry fur garments  | Operate machines to dry-clean, dye, spray, re-oil, and re-buff suede and leather garments  | Mix and add detergents, dyes, bleaches, starches and other solutions and chemicals.  | Dry cleaning and laundry inspectors and assemblers  | Check finished garments and other articles to ensure that they are properly dry-cleaned or laundered  | Record damaged or improperly dry-cleaned or laundered garments and other articles  | Use hand-held steam iron to touch up finished garments and other articles  | Assemble and bag finished garments and other articles  | Match invoices with tags on garments or other articles.  | Ironing, pressing and finishing workers  | Operate finishing equipment such as steam pressers, and use hand irons to finish pants, jackets, shirts, skirts and other dry cleaned and laundered articles  | Hand iron laundered fine linens or dry-cleaned silk garments  | Operate fur ironing and glazing equipment to finish fur garments and other fur articles  | Fold and bag dry cleaned and laundered articles  | May operate laundering equipment.  | Workers in this group may specialize in finishing suede, leather, fur and delicate articles. "
5,Unit Group,65329,Other service support occupations,Workers in other service support occupations perform a range of services. They are employed in a wide variety of establishments: places of employment are usually indicated in the job title.,,beauty salon attendant  | beauty salon supplies attendant  | butler  | car attendant  | car jockey  | car lot attendant  | car storage attendant  | checkroom attendant  | cloakroom attendant  | coat and hat checker  | coin laundry attendant  | cremator  | crematorium attendant  | door attendant (except hotel)  | doorman/woman (except hotel)  | drone pilot  | elevator operator  | estate manager  | fare box collector  | freight elevator operator  | funeral home attendant  | fur storage attendant  | fur vault custodian  | gallery attendant  | garage attendant  | garage jockey  | hat check attendant  | hotel valet  | house manager  | household manager  | housesitter  | laundromat attendant  | locker room attendant  | motor vehicle attendant  | motor vehicle jockey  | movie usher  | mystery shopper  | pallbearer  | parking lot attendant  | parking valet  | remotely piloted aircraft system pilot  | sauna room attendant  | shampooer  | shoe shiner  | steam room attendant  | suntan studio attendant  | tanning salon attendant  | tanning studio attendant  | theatre attendant  | theatre usher  | ticket taker  | ticket taker and usher  | toll booth attendant  | toll collector  | turnstile attendant  | unmanned aerial vehicle (UAV) pilot  | valet,"There are no specific education requirements for occupations in this unit group.  | A valid driver's licence is required for some occupations in this unit group, such as funeral attendant and car jockey.  | Drone pilots with a maximum takeoff drone weight of 25 kilograms must pass an online exam (small basic exam) and for takeoff weight of above 25 kilograms, they must pass an online exam (small advanced exam) and an in-person flight review with Transport Canada to get their Drone pilot certificate-advanced operations.","Operators and attendants in amusement, recreation and sport  (See 65211 Operators and attendants in amusement, recreation and sport) | Other services supervisors  (See 62029 Other services supervisors)",beauty salon attendant  | car jockey  | cloakroom attendant  | door attendant (except hotel)  | funeral home attendant  | fur storage attendant  | hotel valet  | laundromat attendant  | parking lot attendant  | shoe shiner  | tanning salon attendant  | theatre usher  | ticket taker  | toll booth attendant,,"This group performs some or all of the following duties:  | Beauty salon attendants  | Shampoo, condition and dry customers' hair and assist hair stylists as directed  | Keep work areas clean.  | Door attendants  | Assist persons entering or leaving residential buildings, theatres and similar establishments  | May call taxis and assist with parcels.  | Funeral home attendants  | Drive hearses  | Arrange lights and floral displays  | Escort mourners and act as pallbearers  | Clean funeral parlours and chapels.  | Laundromat attendants  | Replenish vending machines  | Provide change  | Explain operation of machines to customers  | Clean the laundromat and arrange for the repair of broken machines  | May wash, dry and fold laundry for customers  | May operate dry cleaning machines for customers.  | Parking lot attendants and car jockeys  | Collect parking fees and issue ticket stubs  | Direct customers to parking spaces and park cars.  | Ticket takers and ushers  | Collect admission tickets or passes from patrons at entertainment events and direct patrons to their seats.  | Other workers in this group  | Perform services specific to the establishments in which their occupations are found. "
5,Unit Group,70010,Construction managers,"Construction managers plan, organize, direct, control and evaluate the activities of a construction company or a construction department within a company, under the direction of a general manager or other senior manager. They are employed by residential, commercial and industrial construction companies and by construction departments of companies outside the construction industry.",Progression to senior management positions is possible with experience.,bridge and building construction manager  | bridge construction superintendent  | building construction general contractor  | building construction superintendent  | building materials branch director  | commercial construction manager  | construction assistant manager  | construction expediter  | construction general contractor  | construction general superintendent  | construction manager  | construction operations manager  | construction project coordinator  | construction project manager  | construction project superintendent  | construction senior project manager  | construction site manager  | construction site superintendent  | construction special project manager  | construction superintendent  | general contractor  | highway construction manager  | housing construction manager  | industrial construction manager  | pipeline construction manager  | pipeline construction superintendent  | residential construction manager  | residential construction site manager,"A university degree in civil engineering or a college diploma in construction technology is usually required.  | A master's degree in project management may be required.  | Several years of experience in the construction industry, including experience as a construction supervisor or field superintendent, are usually required.  | Extensive experience in the construction industry may substitute for post-secondary education requirements.  | Professional engineering status or construction trade certification may be required by some employers. ","Home building and renovation managers  (See 70011 Home building and renovation managers) | Senior managers - construction, transportation, production and utilities  (See 00015 Senior managers - construction, transportation, production and utilities)",commercial construction manager  | construction manager  | construction project manager  | construction superintendent  | general contractor  | housing construction manager  | industrial construction manager  | pipeline construction manager  | residential construction manager,,"This group performs some or all of the following duties:  | Plan, organize, direct, control and evaluate construction projects from start to finish according to schedule, specifications and budget  | Prepare and submit construction project budget estimates  | Plan and prepare construction schedules and milestones and monitor progress against established schedules  | Prepare contracts and negotiate revisions, changes and additions to contractual agreements with architects, consultants, clients, suppliers and subcontractors  | Develop and implement quality control programs  | Represent company on matters such as business services and union contracts negotiation  | Prepare progress reports and issue progress schedules to clients  | Direct the purchase of building materials and land acquisitions  | Hire and supervise the activities of subcontractors and subordinate staff. "
5,Unit Group,70011,Home building and renovation managers,"Home building managers own, operate and manage companies engaged in the construction of new residential homes. Home renovation managers own, operate and manage companies engaged in the renovation of existing residential homes.",Progression to senior management positions is possible with extensive experience and training in management.,builder  | builder - renovation  | builder - residential  | home builder  | home building contractor  | home renovation contractor  | home renovator  | housing rehabilitation specialist - builder  | housing renovator  | low-rise residential home builder  | rehabilitation and renovation specialist  | renovation contractor  | residential home builder  | residential homes contractor  | residential renovation contractor,"Extensive experience in the home construction industry, including experience as a general supervisor, is usually required for self-employment as a home builder or a home renovator.  | Leading in Energy and Environmental Design (LEED) certification may be an asset in bidding on and obtaining building and renovation projects. ","Construction managers  (See 70010 Construction managers) | Senior managers - construction, transportation, production and utilities  (See 00015 Senior managers - construction, transportation, production and utilities)",home builder  | home renovation contractor  | home renovator  | renovation contractor  | residential homes contractor,,"This group performs some or all of the following duties:  | Plan, organize, direct, control and evaluate the activities of a residential home building or renovating company  | Prepare bids for home construction or renovation projects  | Consult with customers, architects and engineers regarding plans and specifications  | Select, hire and supervise trade subcontractors to do specialized work, such as plumbing, heating and electrical work  | Plan and prepare work schedules and coordinate the activities of subcontractors  | Inspect work performed by subcontractors to ensure quality and conformity with plans and specifications  | Prepare and maintain a directory of suppliers and trade subcontractors  | Develop and implement marketing and advertising strategies to promote company's products and services  | May perform carpentry or other trade work during home construction or renovation activities. "
5,Unit Group,70012,Facility operation and maintenance managers,"Facility operation managers plan, organize, direct, control and evaluate the operations of commercial, transportation and recreational facilities and the included real estate. Facility operation managers are employed by a wide range of establishments, such as airports, harbours, canals, shopping centres, convention centres, warehouses and recreational facilities. Maintenance managers plan, organize, direct, control and evaluate the maintenance department within commercial, industrial, institutional, recreational and other facilities. Maintenance managers are employed by a wide range of establishments, such as office buildings, shopping centres, airports, harbours, warehouses, grain terminals, universities, schools and sports facilities, and by the maintenance and mechanical engineering departments of manufacturing and other industrial establishments.",,airport manager  | airport services manager  | airport terminal manager  | arena manager  | assistant grain elevator manager  | assistant shopping centre manager  | assistant shopping mall manager  | assistant warehouse manager  | athletic facility manager  | building maintenance head  | building maintenance manager  | building operations manager  | building services head  | building services manager  | campus maintenance manager  | canal director  | canal superintendent  | cemetery manager  | conference centre manager  | convention centre manager  | country grain elevator facility manager  | country grain elevator manager  | director of maintenance  | distribution centre manager  | electrical superintendent  | facilities maintenance head  | facility maintenance manager  | facility management director  | facility operations manager  | fitness facility manager  | grain elevator district manager  | grain elevator manager  | grain terminal elevator manager  | harbour master  | industrial maintenance manager  | maintenance and service manager  | maintenance and service superintendent  | maintenance coordinator  | maintenance director  | maintenance manager  | maintenance operations manager  | maintenance operations superintendent  | maintenance planner  | maintenance services manager  | maintenance superintendent  | maintenance support services chief  | marina manager  | marina operator  | mechanical services superintendent  | plant maintenance manager  | plant maintenance superintendent  | port director  | primary grain elevator manager  | property manager  | recreation facility manager  | school maintenance manager  | shopping centre maintenance manager  | shopping centre manager  | shopping mall maintenance manager  | shopping mall manager  | sports facility manager  | stadium manager  | tennis court manager  | tobacco warehouse manager  | university maintenance manager  | warehouse and distribution centre manager  | warehouse manager  | warehouse operations manager  | warehouse superintendent  | warehousing manager,Facility operation managers require completion of a college or university program in business administration or in a discipline related to facility operation and maintenance  or an equivalent combination of technical training and experience in administration or maintenance.  | Maintenance managers require completion of a college or university program in electrical or mechanical engineering or in another discipline related to building maintenance  or an equivalent combination of technical training and experience in building maintenance.  | Several years of supervisory experience in facility operations or maintenance are usually required.,"Administrative services managers  (See 1001 Administrative services managers) | Building superintendent  (See 73201 General building maintenance workers and building superintendents) | Contractors and supervisors, mechanic trades  (See 72020 Contractors and supervisors, mechanic trades) | Director of operations - transportation  (See 70020 Managers in transportation) | Freight traffic manager  (See 70020 Managers in transportation) | Production operations manager  (See 90010 Manufacturing managers) | Property administrators  (See 13101 Property administrators)",airport manager  | arena manager  | campus maintenance manager  | facilities maintenance head  | facility operations manager  | grain elevator district manager  | harbour master  | maintenance and service superintendent  | maintenance manager  | maintenance support services chief  | mechanical services superintendent  | plant maintenance superintendent  | recreation facility manager  | shopping centre manager  | warehouse manager,,"This group performs some or all of the following duties:  | Facility operation managers  | Plan, organize, direct, control and evaluate the operations of commercial, transportation and recreational facilities and the included real estate  | Oversee the leasing of space in the facility and the included real estate and the development of marketing strategies  | Plan, organize and direct administrative services such as signage, cleaning, maintenance, parking, safety inspections, security and snow removal  | Plan, organize, direct, control and evaluate construction projects to modify commercial, transportation and recreational facilities and real estate  | Oversee the installation, maintenance and repair of real estate infrastructures including machinery, equipment and electrical and mechanical systems  | Plan and manage the facility's operations budget  | Prepare or oversee the preparation of reports and statistics related to areas of responsibility  | Hire and oversee training and supervision of staff.  | Maintenance managers  | Direct the maintenance and repair of an establishment's machinery, equipment and electrical and mechanical systems  | Develop and implement schedules and procedures for safety inspections and preventive maintenance programs  | Coordinate cleaning, snow removal and landscaping operations  | Administer contracts for the provision of supplies and services  | Plan and manage a facility's maintenance budget  | Hire and oversee training and supervision of staff. "
5,Unit Group,70020,Managers in transportation,"Managers in transportation operations plan, organize, direct, control and evaluate the operations of transportation companies such as railways, airlines, bus lines, municipal transit systems, shipping lines and trucking companies, under the direction of a general manager or another senior manager. Managers in transportation freight traffic plan, organize, direct, control and evaluate companies or departments responsible for the transportation and movement of goods, under the direction of a general manager or another senior manager. They are employed by transportation, freight forwarding and shipping companies and by transportation departments of companies in retail and manufacturing sectors and utilities.","There is little or no mobility between managers in transportation operations and managers in transportation freight traffic.  | There is little or no mobility between transportation managers of land, sea and air transportation operations. ",air freight manager  | airline division manager  | airline division superintendent  | airline express manager  | airline fleet operations manager  | airline flight schedule design manager  | airline manager  | airline superintendent  | assistant general agent - railway  | assistant superintendent - railway  | assistant traffic manager - transportation  | assistant transportation manager  | bus company manager  | cartage company manager  | corporate traffic manager - transportation  | corporate transportation manager  | cruise ship line manager  | current schedule planning manager - airline  | director of logistics - transportation  | director of operations - transportation  | director of traffic - transportation  | director of transportation  | distribution and warehousing manager  | distribution director  | distribution manager - logistics  | distribution operations manager - logistics  | distribution services manager  | export traffic manager  | ferry operations manager  | ferry superintendent  | flight operations director  | flight operations manager  | flight schedulers manager  | freight company manager  | freight division manager  | freight forwarder  | freight forwarding manager  | freight traffic manager  | general traffic manager - transportation  | general transportation manager  | global logistics manager  | import traffic manager  | integrated logistics manager  | integrated logistics programs director  | international traffic manager  | logistics analytics manager  | logistics director - transportation  | logistics manager - transportation  | logistics operations director  | marine operations manager  | marine operations superintendent  | marine superintendent  | marine transportation operations manager  | motor transport manager  | moving company manager  | ocean freight manager  | port captain - water transport  | rail operations superintendent  | rail transport manager  | railway division superintendent  | railway freight manager  | railway manager  | railway passenger operations manager  | railway transport area manager  | railway transport general agent  | ramp manager - airline  | runway manager  | ship line manager  | ship management operations manager  | shipping and warehousing service manager  | shipping services manager  | shore captain - water transport  | superintendent of transportation  | tow truck company manager  | traffic and transportation assistant manager  | traffic manager - transport  | traffic manager - transportation  | traffic manager - water transport  | transfer company manager  | transport department manager  | transportation and traffic manager  | transportation director  | transportation fleet manager  | transportation logistics manager  | transportation management director  | transportation manager  | transportation superintendent  | travel and relocation department manager  | urban transit system manager  | water transport manager,"Managers in transportation operations  | A bachelor's degree in business administration or engineering is usually required.  | Several years of experience in transportation operations are usually required, including supervisory experience.  | Extensive experience as a supervisor and operator in a particular transport mode, such as a pilot, train engineer, vessel master or truck driver, may substitute for formal education.  | Certification as an operator of a particular mode of transportation, such as commercial pilot, vessel master or truck driver, is usually required.  | Managers in transportation freight traffic  | Completion of secondary school is required.  | A college diploma or university degree in business or transportation administration may be required.  | Several years of clerical, operational or administrative experience related to freight traffic are required. ","Airport manager  (See 70012 Facility operation and maintenance managers) | Airport terminal manager  (See 70012 Facility operation and maintenance managers) | Harbour master  (See 70012 Facility operation and maintenance managers) | Senior managers - construction, transportation, production and utilities  (See 00015 Senior managers - construction, transportation, production and utilities)",bus company manager  | distribution manager - logistics  | flight operations manager  | freight forwarding manager  | marine superintendent  | rail operations superintendent  | railway freight manager  | traffic manager - transportation  | transport department manager  | transportation manager  | urban transit system manager,cruise ship line manager,"This group performs some or all of the following duties:  | Managers in transportation operations  | Plan, organize, direct, control and evaluate the operations of a transportation company  | Set operations policies and standards, including determination of safety procedures for the handling of dangerous goods, and ensure compliance with transport regulations  | Oversee the dispatch, maintenance and service of vehicles, vessels or aircraft  | Control the company or departmental budget, including acquisitions  | Monitor company's or department's performance, prepare reports for senior management, and plan for changes to schedules and policies  | Recruit personnel and oversee their training.  | Managers in transportation freight traffic  | Plan, organize, direct, control and evaluate the operation of or department responsible for coordinating, arranging and monitoring the transportation and movement of goods  | Arrange shipping documentation and oversee the schedule, dispatch and tracking of goods  | Set transportation service rates and performance indicators  | Develop plans and procedures for the transportation and storage of goods  | Negotiate with carriers, warehouse operators and insurance company representatives for services and preferential rates  | Control the departmental budget  | Recruit personnel and oversee their training. "
